SYMBOL,COUNTRY,SECURITYNAME,SECTOR,INDUSTRY,CURRENCY
'DHI','US','D.R. Horton','Consumer Discretionary','Homebuilding','USD'
'DHR','US','Danaher Corporation','Health Care','Health Care Equipment','USD'
'DRI','US','Darden Restaurants','Consumer Discretionary','Restaurants','USD'
'DVA','US','DaVita Inc.','Health Care','Health Care Facilities','USD'
'DE','US','John Deere','Industrials','Agricultural & Farm Machinery','USD'
'DAL','US','Delta Air Lines','Industrials','Passenger Airlines','USD'
'XRAY','US','Dentsply Sirona','Health Care','Health Care Supplies','USD'
'DVN','US','Devon Energy','Energy','Oil & Gas Exploration & Production','USD'
'DXCM','US','Dexcom','Health Care','Health Care Equipment','USD'
'FANG','US','Diamondback Energy','Energy','Oil & Gas Exploration & Production','USD'
'DLR','US','Digital Realty','Real Estate','Data Center REITs','USD'
'DFS','US','Discover Financial','Financials','Consumer Finance','USD'
'DIS','US','Disney','Communication Services','Movies & Entertainment','USD'
'DG','US','Dollar General','Consumer Staples','Consumer Staples Merchandise Retail','USD'
'DLTR','US','Dollar Tree','Consumer Staples','Consumer Staples Merchandise Retail','USD'
'D','US','Dominion Energy','Utilities','Electric Utilities','USD'
'DPZ','US','Domino''s','Consumer Discretionary','Restaurants','USD'
'DOV','US','Dover Corporation','Industrials','Industrial Machinery & Supplies & Components','USD'
'DOW','US','Dow Inc.','Materials','Commodity Chemicals','USD'
'DTE','US','DTE Energy','Utilities','Multi-Utilities','USD'
'DUK','US','Duke Energy','Utilities','Electric Utilities','USD'
'DD','US','DuPont','Materials','Specialty Chemicals','USD'
'DXC','US','DXC Technology','Information Technology','IT Consulting & Other Services','USD'
'EMN','US','Eastman Chemical Company','Materials','Diversified Chemicals','USD'
'ETN','US','Eaton Corporation','Industrials','Electrical Components & Equipment','USD'
'EBAY','US','eBay','Consumer Discretionary','Broadline Retail','USD'
'ECL','US','Ecolab','Materials','Specialty Chemicals','USD'
'EIX','US','Edison International','Utilities','Electric Utilities','USD'
'EW','US','Edwards Lifesciences','Health Care','Health Care Equipment','USD'
'EA','US','Electronic Arts','Communication Services','Interactive Home Entertainment','USD'
'ELV','US','Elevance Health','Health Care','Managed Health Care','USD'
'LLY','US','Eli Lilly and Company','Health Care','Pharmaceuticals','USD'
'EMR','US','Emerson Electric','Industrials','Electrical Components & Equipment','USD'
